作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Group,GENDER,Edu,AGE,Language,USEOFAI,Synchronicity_1,Synchronicity_2,Synchronicity_3,Synchronicity_4,Synchronicity_5,Synchronicity_6,Synchronicity_7,Synchronicity_8,Synchronicity_9,Synchronicity_10,Synchronicity_11,Synchronicity_12,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Arousal_1,Arousal_2,Arousal_3,Arousal_4,Arousal_5,PrivacyConcern_1,PrivacyConcern_2,PrivacyConcern_3,PrivacyConcern_4,PrivacyConcern_5,PrivacyConcern_6,PrivacyConcern_7,PrivacyConcern_8,PrivacyConcern_9,DisadvantagingTarget_1,DisadvantagingTarget_2,DisadvantagingTarget_3,DisadvantagingTarget_4,DisadvantagingTarget_5,DisadvantagingTarget_6,DisadvantagingTarget_7,DisadvantagingTarget_8,DisadvantagingTarget_9,DisadvantagingTarget_10,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Autheticity_1,Autheticity_2,Autheticity_3,Trustworthiness_1,Trustworthiness_2,Trustworthiness_3,Trustworthiness_4,Trustworthiness_5,Trustworthiness_6,Trustworthiness_7,Trustworthiness_8,AwarenessGenAI_1,AwarenessGenAI_2,AwarenessGenAI_3,AwarenessGenAI_4,Colonisation_1,Colonisation_2,Colonisation_3,Colonisation_4,Colonisation_5,Colonisation_6,Colonisation_7,Reflexivity_1,Reflexivity_2,Reflexivity_3,Reflexivity_4,Reflexivity_5,Reflexivity_6,Reflexivity_7,Reflexivity_8,Reflexivity_9,Reflexivity_10,Reflexivity_11,Reflexivity_12,Reflexivity_13,Reflexivity_14,Reflexivity_15,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,试次1,ResponseTime1,试次2,ResponseTime2,试次3,ResponseTime3,试次1.1,试次1反应时（毫秒）.1,试次2.1,试次2反应时（毫秒）.1,试次3.1,试次3反应时（毫秒）.1,试次1.2,试次1反应时（毫秒）.2,试次2.2,试次2反应时（毫秒）.2,试次3.2,试次3反应时（毫秒）.2,试次1.3,试次1反应时（毫秒）.3,试次2.3,试次2反应时（毫秒）.3,试次3.3,试次3反应时（毫秒）.3,试次1.4,试次1反应时（毫秒）.4,试次2.4,试次2反应时（毫秒）.4,试次3.4,试次3反应时（毫秒）.4,试次1.5,试次1反应时（毫秒）.5,试次2.5,试次2反应时（毫秒）.5,试次3.5,试次3反应时（毫秒）.5,试次1.6,试次1反应时（毫秒）.6,试次2.6,试次2反应时（毫秒）.6,试次3.6,试次3反应时（毫秒）.6,试次1.7,试次1反应时（毫秒）.7,试次2.7,试次2反应时（毫秒）.7,试次3.7,试次3反应时（毫秒）.7,试次1.8,试次1反应时（毫秒）.8,试次2.8,试次2反应时（毫秒）.8,试次3.8,试次3反应时（毫秒）.8,试次1.9,试次1反应时（毫秒）.9,试次2.9,试次2反应时（毫秒）.9,试次3.9,试次3反应时（毫秒）.9,试次1.10,试次1反应时（毫秒）.10,试次2.10,试次2反应时（毫秒）.10,试次3.10,试次3反应时（毫秒）.10,试次1.11,试次1反应时（毫秒）.11,试次2.11,试次2反应时（毫秒）.11,试次3.11,试次3反应时（毫秒）.11,试次1.12,试次1反应时（毫秒）.12,试次2.12,试次2反应时（毫秒）.12,试次3.12,试次3反应时（毫秒）.12,试次1.13,试次1反应时（毫秒）.13,试次2.13,试次2反应时（毫秒）.13,试次3.13,试次3反应时（毫秒）.13,试次1.14,试次1反应时（毫秒）.14,试次2.14,试次2反应时（毫秒）.14,试次3.14,试次3反应时（毫秒）.14,试次1.15,试次1反应时（毫秒）.15,试次2.15,试次2反应时（毫秒）.15,试次3.15,试次3反应时（毫秒）.15
g90lEro0jxl,KLO4ybxe,14/01/2025 22:27,14/01/2025 22:43,970,1,171.111.173.141,108.3111942,22.8052092,广西壮族自治区,南宁市,COMPUTER,Windows,Chrome,1536px*960px,16_ENTJ,2,4,2,1,3,4,3,4,3,4,5,4,3,4,2,5,3,2,1,3,2,3,2,1,2,2,3,3,4,4,3,4,3,4,4,4,5,4,4,3,5,4,4,3,4,4,2,2,4,4,5,4,5,4,4,5,5,4,2,3,2,1,3,2,2,4,2,4,3,2,4,4,4,3,5,2,3,3,4,3,4,4,3,3,2,4,4,4,4,4,2,3,4,4,2,4,5,5,4,4,4,5,3,4,5,2,3,2,4,4,5,4,4,3,2,4,4,4,3,4,4,3,4,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26524.6, ,23501.7, ,55335
Q1kGv3kPg2W,WMRDrN1L,14/01/2025 22:19,14/01/2025 22:35,969,1,223.160.128.119,116.633666,40.313981,北京市,市辖区,COMPUTER,Windows,Chrome,1280px*720px,16_ENTJ,1,4,3,1,3,3,1,1,3,4,2,4,2,2,2,1,3,3,2,2,2,3,2,1,2,2,2,1,1,2,1,1,4,2,2,3,2,4,2,1,2,3,2,1,3,2,3,2,2,4,3,4,4,3,2,3,5,4,1,2,3,2,5,3,4,2,3,2,4,4,5,3,3,4,2,4,4,2,2,2,3,2,3,3,2,2,1,2,4,4,5,4,3,4,3,3,2,3,4,3,2,2,2,2,3,2,2,3,2,1,4,3,2,2,2,3,2,2,3,2,1,2,1,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113370.1, ,76858, ,41444.4
lAGJZxy542R,o7jQPGdM,15/01/2025 01:00,15/01/2025 01:10,615,1,111.29.170.174,110.353826,20.042637,海南省,海口市,COMPUTER,Windows,Chrome,1536px*864px,2_INFP,2,4,5,1,3,4,5,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,5,3,4,5,4,5,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,5,3,5,4,4,4,5,4,5,3,4,4,5,5,4,4,5,2,1,1,2,1,2,2,1,4,3,1,2,1,2,2,5,4,4,4,4,5,4,5,5,5,4,5,4,5,5,4,3,4,2,2,3,1,5,4,4,5,4,5,5,4,4,5,4,5,4,4,4,4,5,5,4,5,4,5,5,4,2,2, , , , , , , ,18958.5, ,18828.5, ,44500.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
NPXz8KA9jzm,qM6kAVv7,15/01/2025 00:01,15/01/2025 00:15,823,1,106.225.146.196,115.9191298,28.6745131,江西省,南昌市,COMPUTER,Windows,Chrome,1920px*1080px,2_INFP,1,5,4,1,3,4,5,4,4,5,5,4,5,4,5,4,4,4,5,5,4,4,5,4,5,4,5,4,4,5,5,4,4,5,4,4,5,5,4,4,5,4,5,4,4,5,5,4,5,2,1,1,2,2,1,2,1,2,4,5,5,4,2,2,1,5,4,5,2,1,1,2,2,1,2,1,2,4,5,4,4,5,5,4,4,5,4,5,4,5,5,4,1,1,4,2,1,2,2,4,5,5,4,4,5,5,4,5,5,4,5,4,5,4,4,5,4,5,4,4,4,5,4,2,2, , , , , , , ,14019.9, ,7876.3, ,31244.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVpn6V8w1p,G7XZnnje,14/01/2025 23:50,15/01/2025 00:06,903,1,120.235.6.38,110.281652,21.608225,广东省,湛江市,COMPUTER,Windows,Chrome,1920px*1080px,2_INFP,2,5,6,1,3,5,5,4,3,4,5,5,5,4,4,5,5,3,2,3,1,3,2,2,1,2,1,1,1,4,5,5,4,4,4,2,2,4,3,2,3,2,1,1,4,3,4,4,2,4,5,4,5,5,4,4,4,3,4,5,4,3,1,2,2,3,2,4,2,3,4,1,2,2,3,2,2,4,5,4,4,4,4,5,3,4,3,4,4,5,4,3,2,2,4,2,2,3,4,4,2,3,2,5,3,4,5,4,4,2,4,5,3,4,2,4,4,4,2,4,2,4,3,2,2, , , , , , , ,41804.3, ,69453.9, ,24886.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
oGmNzAEgZ9K,G7X4Q687,14/01/2025 23:05,14/01/2025 23:31,1528,1,175.152.11.22,113.728186,34.772201,河南省,郑州市,COMPUTER,Windows,Chrome,3072px*1728px,2_INFP,2,5,4,1,3,4,5,5,3,5,4,5,5,4,4,3,4,4,5,5,5,4,4,3,5,4,4,4,4,5,5,3,4,4,5,5,5,3,3,4,5,3,4,4,4,3,4,5,4,2,2,1,2,2,3,1,2,2,5,3,3,4,2,1,2,4,5,4,3,4,2,2,3,1,2,2,1,4,5,5,5,4,4,5,4,3,3,4,4,5,4,4,3,3,4,2,2,1,1,4,3,3,4,5,4,4,3,5,4,4,5,5,4,5,4,4,5,5,4,3,3,5,4,2,2, , , , , , , ,45611.4, ,30853.4, ,37268.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bo3d9vVvGll,9LQylwYL,14/01/2025 22:50,14/01/2025 23:03,760,1,36.163.167.131,109.004209,34.224919,陕西省,西安市,COMPUTER,Windows,Chrome,1280px*720px,2_INFP,2,5,2,1,2,5,4,5,4,5,5,5,4,4,4,3,4,2,4,3,3,4,3,3,4,4,3,3,3,4,4,4,4,3,4,4,3,4,4,3,3,4,4,3,4,3,4,4,3,4,5,4,4,5,4,5,5,4,3,4,4,4,2,3,3,4,3,4,3,2,2,2,3,3,4,3,4,3,3,3,4,3,3,2,2,2,3,2,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,5,5,4,4,5,5,4,4,4,4,4,4,4,3,4,3,4,4,2,2, , , , , , , ,40131.8, ,27975.2, ,28737.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
oGmN1KVmBmN,2MdjonzL,14/01/2025 22:22,14/01/2025 22:42,1198,1,118.78.188.234,110.9979576,35.0556913,山西省,运城市,COMPUTER,Windows,Chrome,1220px*686px,2_INFP,2,5,4,1,3,4,5,3,2,4,5,4,5,4,5,4,2,4,4,5,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,2,4,4,2,5,5,4,2,4,4,5,4,5,2,1,1,2,1,2,2,1,2,4,5,4,4,2,1,1,4,2,5,4,4,2,1,1,2,2,1,2,4,5,4,4,5,5,4,5,4,4,5,4,5,5,4,2,4,4,2,2,1,2,4,4,5,4,3,4,5,4,4,5,5,4,5,4,5,5,4,4,4,4,5,5,4,5,2,2, , , , , , , ,180736.3, ,87131.9, ,30102.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
NPXzW41aE4v,ve8OvogL,14/01/2025 23:22,14/01/2025 23:37,852,1,153.99.190.77,119.210844,34.6326541,江苏省,连云港市,COMPUTER,Windows,Chrome,1536px*864px,3_ESFP,1,4,2,1,3,4,4,4,3,3,4,3,4,4,4,4,5,4,4,5,4,4,3,4,3,4,4,4,4,5,4,5,5,4,4,5,4,5,4,3,4,3,3,4,4,4,5,5,3,3,2,3,4,2,4,3,3,4,4,4,5,4,2,2,1,4,4,4,2,2,2,1,2,1,2,2,2,4,4,4,4,4,5,4,4,4,4,5,4,4,3,4,4,3,4,2,2,3,2,4,5,3,3,5,4,4,5,5,5,4,4,5,4,4,4,5,4,4,4,4,4,4,5,3,3, , , , , , , , , , , , , ,60667.6, ,43983.3, ,34797.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q1kG2aZWYjG,WMRBardM,14/01/2025 23:07,14/01/2025 23:20,795,1,42.49.74.61,109.9958843,27.5484363,湖南省,怀化市,COMPUTER,Windows,Chrome,1536px*864px,3_ESFP,2,4,4,1,3,5,4,3,5,4,5,5,4,5,3,3,4,5,4,4,5,3,4,4,3,5,5,5,4,3,5,4,4,5,4,4,3,5,5,4,5,3,4,4,4,3,3,5,4,2,2,1,3,2,1,1,3,2,3,5,4,3,1,2,1,5,4,4,4,4,5,2,1,2,1,1,2,4,4,5,5,4,5,5,3,4,3,5,5,4,4,5,5,3,4,4,5,4,5,4,2,5,4,5,5,3,4,4,5,3,2,4,5,4,4,5,4,4,3,5,4,5,4,3,3, , , , , , , , , , , , , ,16078.4, ,12574.6, ,32355.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
lAGJdaBNxjg,37KwaKQ7,14/01/2025 23:05,14/01/2025 23:21,947,1,58.242.162.133,117.3585642,32.9468457,安徽省,蚌埠市,COMPUTER,Windows,Chrome,1366px*768px,3_ESFP,2,4,4,1,3,5,5,5,4,5,5,4,4,5,4,5,5,5,4,4,5,5,4,4,4,5,4,4,4,5,5,5,5,4,5,4,5,5,5,5,4,3,5,4,5,5,4,4,4,1,1,2,2,1,2,1,1,1,5,5,4,4,2,1,1,5,5,4,1,2,1,1,1,1,2,1,1,5,5,4,5,5,5,4,4,5,5,4,2,4,2,2,1,2,3,1,1,1,1,5,5,4,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,3,3, , , , , , , , , , , , , ,54805.1, ,41292, ,23282.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nZoAYmqrl0m,yevkZ5bM,15/01/2025 00:27,15/01/2025 00:44,1041,1,117.132.79.42,118.0876529,36.7532161,山东省,淄博市,COMPUTER,Windows,Chrome,1440px*900px,4_ENFP,2,4,5,1,3,5,5,5,4,4,4,5,4,4,5,4,5,5,4,5,4,4,5,4,4,5,4,5,5,5,4,4,5,4,5,4,5,5,5,4,5,4,4,5,4,4,5,5,4,4,4,5,5,4,5,4,4,5,4,5,4,4,1,1,1,4,3,4,2,1,1,2,2,1,2,1,2,5,4,4,4,5,4,4,5,4,5,4,4,5,4,3,2,1,4,2,2,1,2,5,5,4,4,5,4,5,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,4,4,4, , , , , , , , , , , , , , , , , , , ,110160.4, ,63439.9, ,32846.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
lAGJgNzodvg,kMrqm96e,14/01/2025 23:16,14/01/2025 23:33,999,1,121.35.102.158,114.062815,22.553184,广东省,深圳市,COMPUTER,Windows,Chrome,2560px*1440px,4_ENFP,2,4,4,1,3,4,5,4,5,5,4,4,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5,3,1,2,2,1,1,2,1,2,4,5,4,4,2,1,2,4,4,5,2,1,3,2,2,1,2,1,1,4,5,5,4,4,5,5,4,5,4,4,3,3,2,2,2,1,3,2,1,2,2,4,5,4,4,5,4,5,4,4,5,4,5,4,5,5,4,5,4,4,4,5,4,5,5,4,4, , , , , , , , , , , , , , , , , , , ,45451.4, ,39772.5, ,27346.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Xy4rWRQ199B,ve8oAZxL,14/01/2025 23:11,14/01/2025 23:27,942,1,121.230.22.114,119.9226594,32.4832614,江苏省,泰州市,COMPUTER,Windows,Chrome,1280px*720px,4_ENFP,2,4,3,1,3,4,5,5,4,4,5,4,4,5,4,5,5,4,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,4,5,5,4,5,4,4,5,5,4,4,5,4,4,5,4,2,1,2,1,3,2,3,1,2,5,4,4,5,2,1,2,4,4,5,1,2,3,1,2,3,1,1,2,4,5,4,4,4,5,5,4,4,5,4,5,5,4,4,2,4,5,2,1,1,2,5,4,4,5,4,4,5,5,4,5,4,4,4,5,5,4,4,5,4,4,5,5,5,4,4,4, , , , , , , , , , , , , , , , , , , ,20555.7, ,18163.6, ,38305.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
lAGJ51Epp1q,Ke5XNRxL,14/01/2025 22:54,14/01/2025 23:08,820,1,111.19.6.52,109.2238695,34.661153,陕西省,西安市,COMPUTER,Windows,Chrome,1280px*720px,4_ENFP,2,4,2,1,3,4,4,5,4,3,4,3,5,5,4,5,5,4,5,4,3,4,3,4,5,5,3,3,3,4,4,4,5,3,3,3,3,4,4,4,2,3,2,2,4,4,3,4,3,4,4,5,5,5,4,5,3,3,4,4,4,3,2,2,1,4,3,4,2,3,2,2,1,2,3,4,2,4,3,3,2,2,3,2,2,1,2,2,5,5,5,3,3,2,3,2,2,1,2,4,4,3,1,2,2,3,4,3,2,2,3,4,4,3,4,4,5,4,3,3,4,4,3,4,4, , , , , , , , , , , , , , , , , , , ,37087.1, ,56426.2, ,25276.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Xy4a2WvZa65,QL0Rk1jM,14/01/2025 22:09,14/01/2025 22:20,670,1,183.225.93.183,102.545359,24.356789,云南省,玉溪市,COMPUTER,Windows,Chrome,1313px*739px,4_ENFP,2,4,2,1,3,4,5,4,4,5,4,3,4,5,3,4,4,3,4,5,3,4,3,4,3,4,4,3,3,5,5,4,4,3,3,4,5,5,4,3,4,4,3,5,4,2,4,3,4,4,5,4,5,5,4,4,3,4,2,4,4,4,2,3,2,2,4,5,2,2,4,4,3,3,4,2,4,3,4,3,3,4,3,4,3,2,4,4,4,4,4,3,4,3,4,5,3,4,2,4,4,4,2,3,2,4,4,2,3,3,2,5,5,4,3,4,4,4,5,5,4,3,2,4,4, , , , , , , , , , , , , , , , , , , ,25697.6, ,34401.8, ,26980.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q1kG9RD8o8G,kMrRv4yM,15/01/2025 00:59,15/01/2025 01:13,790,1,39.129.255.173,101.8536419,24.5652958,云南省,楚雄彝族自治州,COMPUTER,Windows,Chrome,1366px*768px,5_ISFJ,2,4,3,1,3,4,5,5,4,4,5,4,4,4,3,5,5,4,2,4,2,4,4,5,2,4,5,4,2,4,4,4,5,4,4,2,2,4,4,3,2,2,1,2,4,2,4,4,3,4,5,5,4,5,4,4,5,4,4,3,2,2,4,3,5,5,4,5,4,4,5,2,1,4,4,5,4,4,5,4,4,4,3,4,4,5,5,4,5,4,4,3,2,4,4,5,4,2,2,5,4,4,4,5,4,5,5,4,5,4,4,5,5,4,4,5,5,2,2,4,4,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , ,47389.7, ,44008.8, ,38705, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
oGmNpwyoaVB,27aDbWZM,14/01/2025 23:28,14/01/2025 23:53,1466,1,223.66.20.100,119.9393911,31.7558433,江苏省,常州市,COMPUTER,Windows,Chrome,1920px*1080px,5_ISFJ,2,4,4,1,3,4,4,5,4,4,3,5,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,5,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4,4,3,3,3,4,4,3,2,3,2,2,5,4,4,4,2,1,2,4,4,4,2,3,3,2,2,3,3,3,2,4,4,3,4,4,4,3,3,4,4,4,3,4,5,4,4,3,4,2,2,3,3,4,4,3,3,3,2,4,3,3,4,4,5,4,5,3,3,4,4,4,4,4,4,4,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , ,102742.1, ,107650.4, ,45607.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVpW4mddDz,J7qyNrG7,14/01/2025 23:10,14/01/2025 23:28,1097,1,182.87.76.18,115.858545,28.689843,江西省,南昌市,COMPUTER,Windows,Chrome,1536px*960px,5_ISFJ,2,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,3,2,2,4,4,4,4,4,4,4,4,3,4,4,3,4,4,2,4,4,2,2,4,4,4,2,2,3,3,3,3,3,3,3,3,4,2,2,2,2,2,3,3,2,4,3,3,2,3,4,4,4,4,3,4,2,2,2,2,3,3,3,2,2,4,3,5,5,5,5,4,4,3,3,3,4,4,4,4,4,2,2,2,4,2,3,2,2,4,4,4,3,2,3,4,3,2,2,2,4,2,5,5, , , , , , , , , , , , , , , , , , , , , , , , , ,68687.7, ,27127.7, ,28705.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
g903GnqJJyJ,G7XnBAGe,14/01/2025 22:13,14/01/2025 22:28,906,1,111.121.217.89,105.3105265,27.2943303,贵州省,毕节市,COMPUTER,Windows,Chrome,2560px*1440px,5_ISFJ,2,4,4,1,2,1,2,1,2,1,3,2,3,4,3,1,1,3,2,1,2,2,2,1,1,1,2,2,2,3,3,2,3,3,2,1,1,1,1,1,4,3,1,1,3,3,2,4,4,5,2,4,4,3,3,4,3,2,4,4,4,3,2,3,2,4,3,5,2,3,3,2,3,2,3,3,3,2,2,2,2,3,3,3,2,2,5,5,4,5,5,5,3,1,4,3,1,1,3,4,4,4,2,3,1,3,4,3,4,3,3,4,4,4,2,1,2,2,2,3,2,3,1,5,5, , , , , , , , , , , , , , , , , , , , , , , , , ,26433.1, ,27239, ,29578.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bo3dDxvbz5J,xeb0rQX7,15/01/2025 00:22,15/01/2025 00:30,499,1,112.97.61.223,113.955087,22.609406,广东省,深圳市,COMPUTER,Windows,Chrome,1276px*716px,6_INFJ,2,5,4,1,3,4,5,5,4,4,4,5,4,5,5,4,5,4,5,4,4,5,5,5,4,5,4,5,5,4,5,4,4,4,5,4,5,5,4,4,4,5,5,4,4,5,4,4,5,2,1,2,2,1,1,2,2,2,4,5,5,4,2,1,1,5,4,4,2,1,2,1,1,2,2,2,1,4,5,4,5,5,4,5,5,4,4,4,4,4,5,4,2,1,2,2,1,1,1,5,4,4,4,5,5,4,5,5,4,4,5,4,5,4,4,5,5,4,5,4,5,4,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62310.9, ,10942.3, ,39438.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Xy4r6vKqp9B,KLOkq8AL,14/01/2025 23:08,14/01/2025 23:22,837,1,124.164.43.229,112.8736746,35.493284,山西省,晋城市,COMPUTER,Windows,Chrome,1280px*720px,6_INFJ,1,4,5,1,2,2,3,2,1,2,3,2,4,3,2,3,2,4,5,2,1,4,2,1,2,1,2,1,2,1,2,1,1,2,3,2,1,3,3,2,3,4,2,5,3,4,5,4,4,3,2,3,4,4,3,2,2,1,3,4,4,3,4,2,5,4,3,1,3,4,5,2,3,2,1,3,2,2,3,2,4,3,3,1,2,3,2,3,5,4,3,3,4,5,3,2,3,2,1,4,4,5,3,4,3,5,5,4,3,3,3,4,4,2,3,4,3,2,1,3,1,2,2,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29995.9, ,20199.1, ,28755.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WQ2XvQamNmE,VMJpmZnL,14/01/2025 23:01,14/01/2025 23:14,801,1,123.54.26.18,115.6447667,34.3999827,河南省,商丘市,COMPUTER,Windows,Chrome,1920px*1080px,6_INFJ,1,4,3,1,3,5,5,4,4,5,4,5,4,5,5,4,4,5,4,5,5,4,4,5,4,5,4,5,4,5,5,4,4,5,4,4,5,5,4,4,5,4,5,4,4,4,5,5,4,2,2,1,1,2,1,2,2,1,4,4,5,5,2,2,1,4,5,4,2,2,1,1,2,1,1,2,1,4,5,4,5,4,4,5,4,5,4,5,5,4,5,4,2,2,1,1,2,1,2,5,4,4,5,4,4,5,4,5,4,4,5,5,4,4,5,5,4,4,5,4,4,4,5,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12586.1, ,12324.3, ,54716.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bo3dqP1jAYk,5LmZqxde,14/01/2025 22:30,14/01/2025 22:47,1015,1,113.117.145.226,113.3903003,22.5155197,广东省,中山市,COMPUTER,Windows,WeChat,2048px*1152px,6_INFJ,1,3,3,1,3,4,5,4,4,5,4,5,4,4,4,5,5,1,2,4,4,5,3,5,4,4,4,3,4,5,5,4,5,5,4,3,4,4,5,5,4,2,3,4,4,5,5,4,2,4,4,3,2,2,5,2,2,3,4,5,5,4,2,1,2,5,4,2,2,2,3,1,1,2,2,1,1,4,4,5,5,4,4,5,5,4,5,4,4,5,5,4,2,1,3,2,2,1,1,4,5,4,3,4,4,5,4,5,5,4,4,5,4,5,4,5,4,4,5,5,5,4,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,119602.4, ,47535.9, ,28642.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mNVp9nKA1Qn,Ke5n0PnM,14/01/2025 22:23,14/01/2025 22:43,1171,1,221.197.232.118,117.187317,39.092173,天津市,市辖区,COMPUTER,Windows,Chrome,1366px*768px,6_INFJ,1,5,5,1,3,5,4,5,3,4,4,5,3,4,3,4,5,4,4,5,4,3,5,4,3,4,4,4,3,4,5,5,4,4,5,4,5,5,4,4,3,4,4,3,4,4,5,5,4,2,2,3,3,1,2,2,1,2,4,3,4,3,3,2,1,5,5,4,3,2,3,2,1,2,1,2,3,4,5,4,4,5,3,3,4,5,4,4,4,5,4,3,2,3,5,3,1,2,3,4,5,4,3,5,3,4,4,3,5,4,5,3,4,4,3,4,5,4,5,4,3,5,4,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,148798.4, ,110507.9, ,32796.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
